COD_ABI,COD_NDG,COD_FISCALE,EMAIL,ACTIVITY_NAME,DATA_INVIO,COD_MICROESITO,COD_CANALE
123456,NDG001,IT12345678901,user1@example.com,Campaign1_SocialADV,2024-07-06 17:20:30, SMS_DEL,SMS
123456,NDG001,IT12345678901,user1@example.com,Campaign1_Survey,2024-07-06 17:15:30, SMS_DEL,SMS
345678,NDG003,IT12345678903,user3@example.com,Campaign3_Event,2024-07-06 17:16:30, SMS_DEL,SMS
345678,NDG003,IT12345678903,user3@example.com,Campaign3_PaidAds,2024-07-06 17:21:30, SMS_DEL,SMS
567890,NDG005,IT12345678905,user5@example.com,Campaign5_Referral,2024-07-07 17:17:30, SMS_DEL,SMS
567890,NDG005,IT12345678905,user5@example.com,Campaign5_Referral,2024-07-07 17:22:30, SMS_DEL,SMS
789012,NDG007,IT12345678907,user7@example.com,Campaign7_WebsiteUpdate,2024-07-07 17:23:30, SMS_DEL,SMS
789012,NDG007,IT12345678907,user7@example.com,Campaign7_CustomerSurvey,2024-07-07 17:18:30, SMS_DEL,SMS
234567,NDG009,IT12345678909,user9@example.com,Campaign9_LoyaltyProgram,2024-07-06 17:19:30, SMS_DEL,SMS
234567,NDG009,IT12345678909,user9@example.com,Campaign9_PressRelease,2024-07-06 17:24:30, SMS_DEL,SMS
234567,NDG002,IT12345678902,user2@example.com,Campaign2_Webinar,2024-07-06 17:21:00, SMS_UND,SMS
234567,NDG002,IT12345678902,user2@example.com,Campaign2_Welcome,2024-07-08 17:16:00, SMS_UND,SMS
456789,NDG004,IT12345678904,user4@example.com,Campaign4_AnalyticsReview,2024-07-07 17:22:00, SMS_UND,SMS
456789,NDG004,IT12345678904,user4@example.com,Campaign4_SocialADV,2024-07-07 17:17:00, SMS_UND,SMS
678901,NDG006,IT12345678906,user6@example.com,Campaign6_Promotion,2024-07-07 17:18:00, SMS_UND,SMS
678901,NDG006,IT12345678906,user6@example.com,Campaign6_DirectMail,2024-07-07 17:23:00, SMS_UND,SMS
123456,NDG008,IT12345678908,user8@example.com,Campaign8_FreeTrial,2024-07-07 17:24:00, SMS_UND,SMS
123456,NDG008,IT12345678908,user8@example.com,Campaign8_FreeTrial,2024-07-08 17:19:00, SMS_UND,SMS
123456,NDG010,IT12345678910,user10@example.com,Campaign10_SocialMediaChallenge,2024-07-08 17:25:00, SMS_UND,SMS
123456,NDG010,IT12345678910,user10@example.com,Campaign10_Promotion,2024-07-06 17:20:00, SMS_UND,SMS
